"","property_id","property_code","property_name","previous_name","company","financially_active","operationally_active","property_type","zip","region","county","submarket","city","operation_status","reporting_ownership","reporting_unit_count","consolidated","active_directory_name","latitude","longitude","status","division","regional_area_manager","sold_date","ga_group_name","status_group","operationally_active_group","parent_group_code","parent_group_name","year_built","year_built_range","county_group","property_name_group","property_code_group","soldthis_year","property_name_code","region_rpm_property","unit_buckets"
"1",117,"003","Cedar Terrace","Unknown","Essex","Y","Y","Residential",98004,"Seattle Metro","King","Eastside","Bellevue","Stabilized",NA,180,"Y","Unknown",47.640968,-122.188332,"Same Store","Washington","Jamie Matthews",NA,NA,"Same Store","Y","NA","NA","1984",">30 <40 Years","King","Cedar Terrace","003",0,"Cedar Terrace (003)","Seattle Metro Jamie Matthews Cedar Terrace (003)","<200"
"2",1271,"006","Corbella at Juanita Bay","Unknown","Essex","Y","Y","Residential",98034,"Seattle Metro","King","Eastside","Kirkland","Stabilized",NA,169,"Y","Unknown",47.708202,-122.213509,"Same Store","Washington","Carol Swanson",NA,NA,"Same Store","Y","NA","NA","1978","40+ Years","King","Corbella at Juanita Bay","006",0,"Corbella at Juanita Bay (006)","Seattle Metro Carol Swanson Corbella at Juanita Bay (006)","<200"
"3",34,"007","Highridge","Unknown","Essex","Y","Y","Residential",90275,"Southern California","Los Angeles","Torrance","Rancho Palos Verdes","Stabilized",NA,255,"Y","Unknown",33.776081,-118.381241,"Same Store","LA/Ventura","Lisa Holbrook",NA,NA,"Same Store","Y","NA","NA","1972","40+ Years","Los Angeles","Highridge","007",0,"Highridge (007)","Southern California Lisa Holbrook Highridge (007)",">200 Units"
"4",1269,"009","Courtyard Off Main","Unknown","Essex","Y","Y","Residential",98004,"Seattle Metro","King","Eastside","Bellevue","Stabilized",NA,110,"Y","Unknown",47.60923,-122.203293,"Same Store","Washington","Melissa Downs",NA,NA,"Same Store","Y","NA","NA","2000",">20 <30 Years","King","Courtyard Off Main","009",0,"Courtyard Off Main (009)","Seattle Metro Melissa Downs Courtyard Off Main (009)","<200"
"5",1144,"011","Bella Villagio","Unknown","Essex","Y","Y","Residential",95136,"Northern California","Santa Clara","San Jose MSA","San Jose","Stabilized",NA,231,"Y","Unknown",37.27589,-121.84922,"Same Store","Northern CA","Ali Ghatala",NA,NA,"Same Store","Y","NA","NA","2004",">15 <20 Years","Santa Clara","Bella Villagio","011",0,"Bella Villagio (011)","Northern California Ali Ghatala Bella Villagio (011)",">200 Units"
"6",472,"012","Chestnut Street Apts","Unknown","Essex","Y","Y","Residential",95060,"Northern California","Santa Cruz","Other NorCal","Santa Cruz","Stabilized",NA,96,"Y","Unknown",36.964699,-122.027809,"Non Same Store","Northern CA","Robyn Inaba",NA,NA,"Non Same Store","Y","NA","NA","2002",">15 <20 Years","Other Northern California","Chestnut Street Apts","012",0,"Chestnut Street Apts (012)","Northern California Robyn Inaba Chestnut Street Apts (012)","<200"
"7",534,"017","The Highlands at Wynhaven","Unknown","Essex","Y","Y","Residential",98029,"Seattle Metro","King","Eastside","Issaquah","Stabilized",NA,333,"Y","Unknown",47.544804,-122.009659,"Same Store","Washington","Sherrie Clevenger",NA,NA,"Same Store","Y","NA","NA","2000",">20 <30 Years","King","The Highlands at Wynhaven","017",0,"The Highlands at Wynhaven (017)","Seattle Metro Sherrie Clevenger The Highlands at Wynhaven (017)",">300 Units"
"8",676,"018","Regency at Encino","Unknown","Essex","Y","Y","Residential",91436,"Southern California","Los Angeles","Woodland Hills","Encino","Stabilized",NA,75,"Y","Unknown",34.155891,-118.472038,"Same Store","LA/Ventura","Crystal Rodgers",NA,NA,"Same Store","Y","NA","NA","1989",">30 <40 Years","Los Angeles","Regency at Encino","018",0,"Regency at Encino (018)","Southern California Crystal Rodgers Regency at Encino (018)","<200"
"9",921,"020","Elevation","Unknown","Essex","Y","Y","Residential",98052,"Seattle Metro","King","Eastside","Redmond","Stabilized",NA,158,"Y","Unknown",47.679914,-122.107131,"Same Store","Washington","Suzanne Bachler",NA,NA,"Same Store","Y","NA","NA","1986",">30 <40 Years","King","Elevation","020",0,"Elevation (020)","Seattle Metro Suzanne Bachler Elevation (020)","<200"
"10",735,"022","Skyline","Unknown","Essex","Y","Y","Residential",92707,"Southern California","Orange","North Orange","Santa Ana","Stabilized",NA,350,"Y","Unknown",33.698997,-117.86557,"Same Store","OC/San Diego","Brent Christianson",NA,NA,"Same Store","Y","NA","NA","2008",">10 <15 Years","Orange","Skyline","022",0,"Skyline (022)","Southern California Brent Christianson Skyline (022)",">300 Units"
